Date,Id,Sum,Price
2019/1/2,6004020664,5,3249.146
2019/1/2,6004020849,1,2978.152727
2019/1/2,6004020709,1,16810.05
2019/1/2,6004020859,3,2828.26
2019/1/2,6004020080,1,3720.54
2019/1/2,6004010207,1,995.440989
2019/1/2,6004020888,1,2354.067667
2019/1/2,6004020888,1,2335.6275
2019/1/2,6004010229,1,1237.6052
2019/1/2,6004020141,2,227.2115385
2019/1/3,6004020371,1,1063.216481
2019/1/3,6004010255,3,1299.47
2019/1/3,6004010255,1,1299.47
2019/1/3,6004020684,8,8579.495
2019/1/3,6004020708,1,16718.10648
2019/1/3,6004010174,7,1387.685
2019/1/3,6004010174,14,1387.685
2019/1/3,6004010174,10,1387.685
2019/1/3,6004020372,1,3307.464728
2019/1/3,6004020847,2,2132.654545
2019/1/3,6004020849,2,2978.152727
2019/1/3,6004020859,1,2836.202528
2019/1/3,6004100008,2,1776.042857
2019/1/3,6004020921,4,2417.085
2019/1/3,6004020725,2,5931.035
2019/1/3,6004020656,2,79.07825
2019/1/4,6004100008,2,1776.042857
2019/1/7,6004020417,1,538.74
2019/1/7,6004020887,3,2222.136818
2019/1/7,6004020418,2,922.005
2019/1/7,6004020918,1,2308.707058
2019/1/7,6004100008,1,1776.042857
2019/1/7,6004020372,1,3302.812667
2019/1/7,6004020920,4,2305.690556
2019/1/7,6004020887,2,2222.136818
2019/1/8,6004010252,10,277.9904
2019/1/7,6004020418,1,919.9928
2019/1/7,6004100008,2,1776.043462
2019/1/7,6004020725,1,5931.21
2019/1/7,6004020725,1,5931.21
2019/1/8,6004020919,1,2344.775625
2019/1/8,6004100008,1,1776.043462
2019/1/8,6004100008,2,1776.043462
2019/1/8,6004020918,2,2325.426667
2019/1/8,6004020375,1,324.71
2019/1/8,6004020375,1,324.71
2019/1/8,6004020503,6,229.9993333
2019/1/8,6004020847,2,2132.654545
2019/1/8,6004020887,1,2222.136818
2019/1/8,6004020502,1,291.869
2019/1/8,6004020715,1,1025.811538
2019/1/8,6004020374,2,271.6725
2019/1/8,6004020374,1,275.7816124
2019/1/8,6004020504,1,3706.81625
2019/1/8,6004020795,1,7705.13
2019/1/8,6004020622,2,376.745
2019/1/8,6004020375,1,324.71
2019/1/8,6004020503,3,229.9993333
2019/1/8,6004020502,1,291.869
2019/1/8,6004020715,1,1025.811538
2019/1/8,6004020795,1,7705.13
2019/1/8,6004020374,1,271.6725
2019/1/8,6004020374,1,275.7816124
2019/1/9,6004020770,1,6922.178125
2019/1/8,6004020504,1,3706.81625
2019/1/10,6004020934,1,4127.876667
2019/1/10,6004020034,2,2531.9
2019/1/10,6004020041,1,2313.17
2019/1/10,6004020061,1,2613.828333
2019/1/10,6004020066,1,2817.01
2019/1/8,6004020375,1,324.71
2019/1/8,6004020503,3,229.9993333
2019/1/8,6004020502,1,291.869
2019/1/8,6004020374,1,275.7816124
2019/1/8,6004020504,1,3706.81625
2019/1/8,6004020375,1,324.71
2019/1/10,6004020705,2,2460.705275
2019/1/8,6004020374,1,275.7816124
2019/1/10,6004020061,2,2613.828333
2019/1/9,6004010174,2,1431.756057
2019/1/10,6004020935,1,5681.93
2019/1/9,6004010174,16,1387.685
2019/1/9,6004010174,2,1431.756057
2019/1/11,6004020482,2,4174.106
2019/1/11,6004020664,2,3244.641818
2019/1/10,6004020502,1,507.49
2019/1/10,6004020375,1,324.71
2019/1/10,6004020375,1,324.71
2019/1/10,6004020503,9,229.9993333
2019/1/10,6004020372,1,3302.812667
2019/1/10,6004020847,3,2132.654545
2019/1/10,6004020810,1,7421.255
2019/1/10,6004020374,2,271.6734286
2019/1/10,6004020504,2,3706.81625
2019/1/10,6004020374,2,271.6734286
2019/1/11,6004100008,8,1776.043462
2019/1/11,6004100008,2,1776.043462
2019/1/12,6004020374,1,275.7816124
2019/1/12,6004020375,1,324.71
2019/1/12,6004020503,4,229.999
2019/1/12,6004020371,2,1063.19125
2019/1/12,6004020503,7,229.999
2019/1/12,6004020374,6,271.6734286
2019/1/12,6004020504,1,3706.81625
2019/1/12,6004020714,1,580.5988889
2019/1/12,6004020622,3,376.745
2019/1/12,6004020503,10,229.999
2019/1/12,6004020374,3,275.7816124
2019/1/12,6004020504,1,3706.81625
2019/1/12,6004020723,2,4957.44087
2019/1/12,6004020714,2,580.5988889
2019/1/12,6004020759,2,6982.9345
2019/1/12,6004020375,1,324.71
2019/1/12,6004020072,1,137.6924667
2019/1/12,6004020854,1,2880.002667
2019/1/12,6004020503,3,229.999
2019/1/12,6004020888,2,2335.6275
2019/1/12,6004020505,1,783.1316667
2019/1/12,6004020372,1,3302.812667
2019/1/12,6004020922,1,2356.067222
2019/1/12,6004020371,2,1063.216481
2019/1/12,6004020481,4,5611.016656
2019/1/12,6004020372,1,3313.851667
2019/1/12,6004020918,1,2289.5825
2019/1/12,6004020849,2,2978.152727
2019/1/12,6004100008,4,1773.209677
2019/1/12,6004100008,4,1773.209677
2019/1/12,6004020859,10,2836.202528
2019/1/12,6004020859,1,2836.202528
2019/1/15,6004020511,1,4614.005455
2019/1/15,6004020514,1,4750.184291
2019/1/15,6004020667,2,4086.34
2019/1/15,6004020819,4,3637.6
2019/1/12,6004020418,1,928.7036855
2019/1/12,6004020855,1,2900.582
2019/1/15,6004010249,3,912.0325544
2019/1/12,6004020725,2,5931.21
2019/1/19,6004020827,3,4943.835
2019/1/12,6004020493,1,737.5236364
2019/1/19,6004020370,1,956.675
2019/1/12,6004020374,2,271.6734286
2019/1/12,6004020141,2,227.2115385
2019/1/12,6004020656,2,79.07825
2019/1/19,6004020790,4,6868.83
2019/1/19,6004020826,10,5955.87125
2019/1/12,6004020763,4,8997.884375
2019/1/12,6004020656,4,79.07825
2019/1/19,6004020923,5,6608.82
2019/1/14,6004010256,1,1270.29
2019/1/14,6004010255,1,1299.47
2019/1/15,6004020922,1,2356.067222
2019/1/15,6004020417,1,538.74
2019/1/15,6004020417,1,538.74
2019/1/19,6004020764,1,6200.8
2019/1/15,6004020887,1,2222.136818
2019/1/15,6004020418,1,919.9928
2019/1/19,6004020934,1,4127.876667
2019/1/19,6004020935,1,5637.44
2019/1/15,6004100008,2,1773.209677
2019/1/15,6004020918,1,2308.707058
2019/1/15,6004020918,2,2325.426667
2019/1/19,6004010255,4,1299.47
2019/1/19,6004020373,3,527.5877895
2019/1/19,6004010174,1,1418.624054
2019/1/19,6004020372,3,3302.812667
2019/1/19,6004020482,2,4174.106
2019/1/19,6004020418,2,919.9928
2019/1/19,6004020849,1,2978.152727
2019/1/19,6004100008,2,1773.209677
2019/1/19,6004020921,2,2417.085
