周,生产计划/件,实际需求量/件,库存量/件,缺货量/件,服务水平
101,73.46464646464648,8.0,65.46464646464648,0,1
102,0,25.0,40.46464646464648,0,1
103,0,33.0,7.464646464646478,0,1
104,34.743196672608434,10.0,32.20784313725491,0,1
105,0,15.0,17.207843137254912,0,1
106,0,12.0,5.207843137254912,0,1
107,3.4645378151260395,6.0,2.6723809523809514,0,1
108,0,35.0,0,32.32761904761905,0.07635374149659861
109,79.19117044948821,10.0,36.86355140186916,0,1
110,0,3.0,33.86355140186916,0,1
111,0,0.0,33.86355140186916,0,1
112,0,15.0,18.86355140186916,0,1
113,0,3.0,15.86355140186916,0,1
114,0,5.0,10.86355140186916,0,1
115,0,8.0,2.8635514018691595,0,1
116,4.14346614199049,19.0,0,11.99298245614035,0.3687903970452447
117,46.399938977879486,15.0,19.406956521739133,0,1
118,4.362008995502247,11.0,12.76896551724138,0,1
119,4.376333628057768,1.0,16.14529914529915,0,1
120,0,26.0,0,9.854700854700852,0.6209730440499672
121,51.01436472024707,6.0,35.15966386554622,0,1
122,0,35.0,0.15966386554622147,0,1
123,63.54777415098272,5.0,58.70743801652894,0,1
124,0,10.0,48.70743801652894,0,1
125,0,20.0,28.70743801652894,0,1
126,0,22.0,6.70743801652894,0,1
127,21.681361983471056,18.0,10.388799999999996,0,1
128,14.35723174603175,10.0,14.746031746031747,0,1
129,0,19.0,0,4.253968253968253,0.7761069340016709
130,25.366468253968254,23.0,0,1.8874999999999993,0.9179347826086957
131,30.568120155038756,9.0,19.680620155038756,0,1
132,0,12.0,7.680620155038756,0,1
133,4.556021066335289,5.0,7.236641221374045,0,1
134,0,18.0,0,10.763358778625955,0.40203562340966914
135,27.402456522986853,13.0,3.639097744360896,0,1
136,10.972842554146565,19.0,0,4.388059701492539,0.7690494893951295
137,27.388059701492537,24.0,0,1.0,0.9583333333333334
138,32.970588235294116,0.0,31.970588235294112,0,1
139,0,14.0,17.970588235294112,0,1
140,0,16.0,1.9705882352941124,0,1
141,15.768980110029624,8.0,9.739568345323736,0,1
142,0,6.0,3.739568345323736,0,1
143,2.5370273993571164,5.0,1.2765957446808525,0,1
144,3.391009889121962,19.0,0,14.332394366197185,0.24566345441067447
145,39.27645031025313,5.0,19.944055944055947,0,1
146,0,7.0,12.944055944055947,0,1
147,0,16.0,0,3.055944055944053,0.8090034965034967
148,20.790190631286517,20.0,0,2.265753424657536,0.8867123287671232
149,28.581399683160935,11.0,15.3156462585034,0,1
150,2.370840227983088,5.0,12.686486486486487,0,1
151,0,11.0,1.686486486486487,0,1
152,8.006846846846846,1.0,8.693333333333333,0,1
153,0,13.0,0,4.306666666666667,0.6687179487179488
154,14.817192982456143,7.0,3.510526315789477,0,1
155,5.38882008943928,26.0,0,17.100653594771245,0.3422825540472599
156,62.807147101264746,5.0,40.7064935064935,0,1
157,0,4.0,36.7064935064935,0,1
158,0,3.0,33.7064935064935,0,1
159,0,14.0,19.7064935064935,0,1
160,0,2.0,17.7064935064935,0,1
161,0,2.0,15.706493506493501,0,1
162,0,0.0,15.706493506493501,0,1
163,0,2.0,13.706493506493501,0,1
164,0,12.0,1.7064935064935014,0,1
165,15.461604653015701,3.0,14.168098159509203,0,1
166,0,8.0,6.168098159509203,0,1
167,3.256144264733221,3.0,6.424242424242424,0,1
168,0,9.0,0,2.575757575757576,0.7138047138047138
169,11.582943204500092,12.0,0,2.9928143712574844,0.7505988023952096
170,17.18567151411463,11.0,3.192857142857145,0,1
171,11.592941673710902,4.0,10.785798816568047,0,1
172,0,2.0,8.785798816568047,0,1
173,0,7.0,1.7857988165680467,0,1
174,4.004898857850558,11.0,0,5.209302325581395,0.5264270613107823
175,16.02317515795134,9.0,1.8138728323699436,0,1
176,9.195322569928907,10.0,1.0091954022988503,0,1
177,10.399947454844007,4.0,7.409142857142857,0,1
